종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
092590,럭스피아,"1,300","-160","10.96","1,655","1,300","1","1,300","1,300","1,300","1,300","500",원(KRW),"7,291,098","9,478,427,400",
238500,로보쓰리,"397","-41","9.36","400","397","16,006","6,402,063","400","400","385","500",원(KRW),"4,682,166","1,858,819,902",
162120,루켄테크놀러지스,"6,320","820","14.91","0","6,320","3,676","23,230,070","6,320","6,320","6,310","500",원(KRW),"1,648,144","10,416,270,080",
200580,메디쎄이,"9,020","10","0.11","9,130","9,020","429","3,904,560","9,000","9,200","9,000","500",원(KRW),"3,478,159","31,372,994,180",
233250,메디안디노스틱,"43,500","-50","0.11","47,000","43,000","407","17,877,500","45,000","45,000","43,000","500",원(KRW),"1,746,534","75,974,229,000",
236340,메디젠휴먼케어,"8,400","30","0.36","8,400","8,000","557","4,575,210","8,400","8,800","7,900","500",원(KRW),"2,346,558","19,711,087,200",
267060,명진홀딩스,"1,765","0","0.00","1,730","1,605","0","0","0","0","0","500",원(KRW),"8,812,359","15,553,813,635",
322970,무진메디,"5,230","-10","0.19","5,250","5,230","391","2,046,970","5,240","5,250","5,230","500",원(KRW),"6,743,378","35,267,866,940",
208890,미래엔에듀파트너,"1,900","0","0.00","2,095","1,800","0","0","0","0","0","1,000",원(KRW),"3,150,820","5,986,558,000",
225850,미애부,"1,165","0","0.00","1,315","1,015","0","0","0","0","0","500",원(KRW),"3,332,333","3,882,167,945",
281310,바이오시네틱스,"7,510","310","4.31","7,510","6,260","7","49,190","7,700","7,700","6,230","500",원(KRW),"2,634,890","19,788,023,900",
266470,바이오인프라생명과학,"2,015","-5","0.25","2,015","1,985","9,712","19,277,655","2,055","2,055","1,970","500",원(KRW),"14,106,847","28,425,296,705",
216400,바이오코아,"13,000","-50","0.38","13,000","12,750","31","403,200","13,200","13,200","13,000","500",원(KRW),"7,711,315","100,247,095,000",
