,rowID,등록일,구분,확진자,확진률,치명률,사망자,사망률,수정일
363,4809,2020-11-18,0-9,789,2.69,2.69,0,0.00,null
364,4808,2020-11-18,10-19,1621,5.53,5.53,0,0.00,null
365,4807,2020-11-18,20-29,5594,19.08,19.08,0,0.00,null
366,4806,2020-11-18,30-39,3697,12.61,12.61,2,0.40,null
367,4805,2020-11-18,40-49,3987,13.6,13.6,4,0.81,null
368,4804,2020-11-18,50-59,5361,18.29,18.29,23,4.64,null
369,4803,2020-11-18,60-69,4648,15.86,15.86,57,11.49,null
370,4802,2020-11-18,70-79,2335,7.97,7.97,159,32.06,null
371,4801,2020-11-18,80 이상,1279,4.36,4.36,251,50.60,null
372,4800,2020-11-18,여성,15511,52.92,52.92,235,47.38,null
373,4799,2020-11-18,남성,13800,47.08,47.08,261,52.62,null
374,4787,2020-11-17,0-9,784,2.7,2.7,0,0.00,null
375,4786,2020-11-17,10-19,1605,5.53,5.53,0,0.00,null
376,4785,2020-11-17,20-29,5547,19.13,19.13,0,0.00,null
377,4784,2020-11-17,30-39,3650,12.59,12.59,2,0.40,null
378,4783,2020-11-17,40-49,3926,13.54,13.54,4,0.81,null
379,4782,2020-11-17,50-59,5306,18.3,18.3,23,4.66,null
380,4781,2020-11-17,60-69,4607,15.89,15.89,57,11.54,null
381,4780,2020-11-17,70-79,2315,7.98,7.98,157,31.78,null
382,4779,2020-11-17,80 이상,1258,4.34,4.34,251,50.81,null
383,4778,2020-11-17,여성,15382,53.05,53.05,234,47.37,null
384,4777,2020-11-17,남성,13616,46.95,46.95,260,52.63,null
385,4765,2020-11-16,0-9,774,2.69,2.69,0,0.00,null
386,4764,2020-11-16,10-19,1593,5.54,5.54,0,0.00,null
387,4763,2020-11-16,20-29,5510,19.15,19.15,0,0.00,null
388,4762,2020-11-16,30-39,3624,12.6,12.6,2,0.40,null
389,4761,2020-11-16,40-49,3890,13.52,13.52,4,0.81,null
390,4760,2020-11-16,50-59,5262,18.29,18.29,23,4.66,null
391,4759,2020-11-16,60-69,4569,15.88,15.88,57,11.54,null
392,4758,2020-11-16,70-79,2297,7.98,7.98,157,31.78,null
393,4757,2020-11-16,80 이상,1250,4.34,4.34,251,50.81,null
394,4756,2020-11-16,여성,15270,53.08,53.08,234,47.37,null
395,4755,2020-11-16,남성,13499,46.92,46.92,260,52.63,null
396,4743,2020-11-15,0-9,768,2.69,2.69,0,0.00,null
397,4742,2020-11-15,10-19,1581,5.54,5.54,0,0.00,null
398,4741,2020-11-15,20-29,5473,19.17,19.17,0,0.00,null
399,4740,2020-11-15,30-39,3597,12.6,12.6,2,0.41,null
400,4739,2020-11-15,40-49,3861,13.53,13.53,4,0.81,null
401,4738,2020-11-15,50-59,5222,18.29,18.29,23,4.67,null
402,4737,2020-11-15,60-69,4516,15.82,15.82,57,11.56,null
403,4736,2020-11-15,70-79,2282,7.99,7.99,157,31.85,null
404,4735,2020-11-15,80 이상,1246,4.36,4.36,250,50.71,null
405,4734,2020-11-15,여성,15165,53.12,53.12,233,47.26,null
406,4733,2020-11-15,남성,13381,46.88,46.88,260,52.74,null
407,4721,2020-11-14,0-9,760,2.68,2.68,0,0.00,null
408,4720,2020-11-14,10-19,1568,5.53,5.53,0,0.00,null
409,4719,2020-11-14,20-29,5447,19.22,19.22,0,0.00,null
410,4718,2020-11-14,30-39,3570,12.6,12.6,2,0.41,null
411,4717,2020-11-14,40-49,3834,13.53,13.53,4,0.81,null
412,4716,2020-11-14,50-59,5173,18.25,18.25,23,4.67,null
413,4715,2020-11-14,60-69,4476,15.8,15.8,57,11.59,null
414,4714,2020-11-14,70-79,2269,8.01,8.01,157,31.91,null
415,4713,2020-11-14,80 이상,1241,4.38,4.38,249,50.61,null
416,4712,2020-11-14,여성,15057,53.13,53.13,232,47.15,null
417,4711,2020-11-14,남성,13281,46.87,46.87,260,52.85,null
418,4710,2020-11-13,0-9,748,2.66,2.66,0,0.00,null
419,4709,2020-11-13,10-19,1554,5.52,5.52,0,0.00,null
420,4708,2020-11-13,20-29,5411,19.23,19.23,0,0.00,null
421,4707,2020-11-13,30-39,3538,12.58,12.58,2,0.41,null
422,4706,2020-11-13,40-49,3805,13.53,13.53,4,0.82,null
423,4705,2020-11-13,50-59,5137,18.26,18.26,22,4.51,null
424,4704,2020-11-13,60-69,4444,15.8,15.8,56,11.48,null
425,4703,2020-11-13,70-79,2262,8.04,8.04,157,32.17,null
426,4702,2020-11-13,80 이상,1234,4.39,4.39,247,50.61,null
427,4701,2020-11-13,여성,14957,53.17,53.17,231,47.34,null
428,4700,2020-11-13,남성,13176,46.83,46.83,257,52.66,null
429,4688,2020-11-12,0-9,741,2.65,2.65,0,0.00,null
430,4687,2020-11-12,10-19,1545,5.53,5.53,0,0.00,null
431,4686,2020-11-12,20-29,5383,19.26,19.26,0,0.00,null
432,4685,2020-11-12,30-39,3519,12.59,12.59,2,0.41,null
433,4684,2020-11-12,40-49,3782,13.54,13.54,4,0.82,null
434,4683,2020-11-12,50-59,5095,18.23,18.23,22,4.52,null
435,4682,2020-11-12,60-69,4416,15.8,15.8,56,11.50,null
436,4681,2020-11-12,70-79,2245,8.03,8.03,157,32.24,null
437,4680,2020-11-12,80 이상,1216,4.35,4.35,246,50.51,null
438,4679,2020-11-12,여성,14857,53.17,53.17,230,47.23,null
439,4678,2020-11-12,남성,13085,46.83,46.83,257,52.77,null
440,4655,2020-11-11,0-9,735,2.64,2.64,0,0.00,null
441,4654,2020-11-11,10-19,1532,5.51,5.51,0,0.00,null
442,4653,2020-11-11,20-29,5357,19.27,19.27,0,0.00,null
443,4652,2020-11-11,30-39,3496,12.58,12.58,2,0.41,null
444,4651,2020-11-11,40-49,3760,13.53,13.53,4,0.82,null
445,4650,2020-11-11,50-59,5070,18.24,18.24,22,4.52,null
446,4649,2020-11-11,60-69,4401,15.83,15.83,56,11.50,null
447,4648,2020-11-11,70-79,2236,8.04,8.04,157,32.24,null
448,4647,2020-11-11,80 이상,1212,4.36,4.36,246,50.51,null
449,4646,2020-11-11,여성,14791,53.21,53.21,230,47.23,null
450,4645,2020-11-11,남성,13008,46.79,46.79,257,52.77,null
451,4644,2020-11-10,0-9,729,2.64,2.64,0,0.00,null
452,4643,2020-11-10,10-19,1527,5.52,5.52,0,0.00,null
453,4642,2020-11-10,20-29,5337,19.3,19.3,0,0.00,null
454,4641,2020-11-10,30-39,3478,12.58,12.58,2,0.41,null
455,4640,2020-11-10,40-49,3748,13.55,13.55,4,0.82,null
456,4639,2020-11-10,50-59,5049,18.26,18.26,22,4.54,null
457,4638,2020-11-10,60-69,4371,15.81,15.81,55,11.34,null
458,4637,2020-11-10,70-79,2217,8.02,8.02,157,32.37,null
459,4636,2020-11-10,80 이상,1197,4.33,4.33,245,50.52,null
460,4635,2020-11-10,여성,14713,53.21,53.21,230,47.42,null
461,4634,2020-11-10,남성,12940,46.79,46.79,255,52.58,null
462,4611,2020-11-09,0-9,726,2.63,2.63,0,0.00,null
463,4610,2020-11-09,10-19,1518,5.51,5.51,0,0.00,null
464,4609,2020-11-09,20-29,5316,19.29,19.29,0,0.00,null
465,4608,2020-11-09,30-39,3465,12.58,12.58,2,0.42,null
466,4607,2020-11-09,40-49,3736,13.56,13.56,4,0.83,null
467,4606,2020-11-09,50-59,5036,18.28,18.28,22,4.58,null
468,4605,2020-11-09,60-69,4356,15.81,15.81,54,11.25,null
469,4604,2020-11-09,70-79,2208,8.01,8.01,156,32.50,null
470,4603,2020-11-09,80 이상,1192,4.33,4.33,242,50.42,null
471,4602,2020-11-09,여성,14669,53.24,53.24,228,47.50,null
472,4601,2020-11-09,남성,12884,46.76,46.76,252,52.50,null
473,4567,2020-11-08,0-9,723,2.64,2.64,0,0.00,null
474,4566,2020-11-08,10-19,1512,5.51,5.51,0,0.00,null
475,4565,2020-11-08,20-29,5301,19.33,19.33,0,0.00,null
476,4564,2020-11-08,30-39,3440,12.54,12.54,2,0.42,null
477,4563,2020-11-08,40-49,3717,13.55,13.55,4,0.84,null
